,Community: AlgoFi Vault (votes),Community: AlgoFi Vault (blocks),Unknown (votes),Unknown (blocks),foundation (votes),foundation (blocks)
0-999,1,1,0,0,0,0
29343000-29343999,1,1,2,2,606,431
29344000-29344999,2,2,3,3,1159,991
29345000-29345999,2,2,1,1,1509,999
29346000-29346999,12,12,1,1,1325,992
29347000-29347999,18,18,1,1,1119,969
29348000-29348999,2,2,1,1,1188,995
29349000-29349999,1,1,1,1,1180,1000
29350000-29350999,1,1,2,2,1288,1000
29351000-29351999,3,3,2,2,1272,1000
29352000-29352904,7,7,1,1,1020,904
